ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDateTime,VmvCode,VariableCode,VariableName,MeasurementFlag,MeasurementValue,UnitCode,SampleDetectLimit,MeasurementComment,MeasurementQualifier,MeasurementQualifierDescription,MeasurementQualifierComment,MethodCode,MethodDetectionLimit,LabCode
ABS001,73AB000238,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,03/08/1973 14:00:00,10401,749,RESIDUE NONFILTERABLE,,61,mg/L,,,,,,396,10,0
ABS001,73AB000242,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,06/06/1973 14:30:00,10401,749,RESIDUE NONFILTERABLE,,40,mg/L,,,,,,396,10,0
ABS001,73AB000244,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,07/03/1973 12:00:00,10401,749,RESIDUE NONFILTERABLE,,52,mg/L,,,,,,396,10,0
ABS001,73AB000253,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,11/28/1973 13:00:00,10401,749,RESIDUE NONFILTERABLE,,13,mg/L,,,,,,396,10,0
ABS001,74AB000162,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,10/16/1974 12:05:00,10401,749,RESIDUE NONFILTERABLE,L,10,mg/L,,,,,,396,10,0
ABS001,74AB000163,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,11/07/1974 11:30:00,10401,749,RESIDUE NONFILTERABLE,L,10,mg/L,,,,,,396,10,0
ABS001,75AB000128,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,03/13/1975 12:00:00,10401,749,RESIDUE NONFILTERABLE,L,10,mg/L,,,,,,396,10,0
ABS001,75AB000129,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,05/01/1975 11:00:00,10401,749,RESIDUE NONFILTERABLE,,16,mg/L,,,,,,396,10,0
ABS001,75AB000130,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,07/10/1975 12:35:00,10401,749,RESIDUE NONFILTERABLE,,107,mg/L,,,,,,396,10,0
ABS001,80AB000938,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,07/14/1980 13:30:00,10401,749,RESIDUE NONFILTERABLE,,2,mg/L,,,,,,396,10,0
ABS001,80AB000939,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/07/1980 12:00:00,10401,749,RESIDUE NONFILTERABLE,,4,mg/L,,,,,,396,10,0
ABS001,81AB001098,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,07/06/1981 11:45:00,10401,749,RESIDUE NONFILTERABLE,,34,mg/L,,,,,,396,10,0
ABS001,81AB001099,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/31/1981 11:10:00,10401,749,RESIDUE NONFILTERABLE,,13,mg/L,,,,,,396,10,0
ABS001,82AB000332,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/17/1982 10:50:00,10401,749,RESIDUE NONFILTERABLE,,6,mg/L,,,,,,396,10,0
ABS001,85AB000877,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,04/24/1985 09:40:00,10401,749,RESIDUE NONFILTERABLE,,14.4,mg/L,,,,,,396,10,0
ABS001,85AB000877,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,04/24/1985 09:40:00,10451,745,RESIDUE FILTERABLE,,213,mg/L,,,,,,404,10,0
ABS001,85AB000878,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,05/15/1985 15:40:00,10401,749,RESIDUE NONFILTERABLE,,4.4,mg/L,,,,,,396,10,0
