FEATURE_CO,FEATURE_TY,NAME,SOURCE,CAPTURE_DA,PS_FLOW,From,To,NOTES,length.m
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR LOWER 2,AB07DC0110,,27188.427
GA61750000,STR-RECUR,McClelland Creek,20KADD,1980/05/09,P,MCCLELLAND LAKE OUTFLOW,MOOSE CREEK / MCCLELLAND CREEK,,16587.437
,STR-RECUR,Moose Creek,20KADD,1980/05/09,P,A-N-1,MOOSE CREEK / MCCLELLAND CREEK,,16528.618
GA61900000,STR-PER,Firebag River,20KADD,1980/05/09,P,FIR TRIB 4,FIR TRIB 3,,15401.330
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR MID 3,FIR MID 6,,11695.924
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR MID,FIR MID 2,,11455.605
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,MUSKEG RIVER / AB07DA0606,MUSKEG RIVER / SHARKBITE,,11436.909
GA61900000,STR-PER,Muskeg Creek,20KADD,1980/05/09,P,RAMP MUC-1,AB07DA2755,,11047.102
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR-1-A,FIR MID 7,,10787.372
GA61700000,STR-INDEF,Wapasu Creek,20KADD,1980/05/09,P,RAMP WAC-1,AB07DA1126,,11427.417
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,MUSKEG RIVER / A-A-1,MUSKEG RIVER / A-D-1,,10613.150
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FR-1,FIR LOWER,,10515.582
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIREBAG RIVER / MOOSE CREEK,AB07DC0060,,9897.984
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIREBAG RIVER / WATERBODY 3,FIR MID 8,,9592.807
,STR-INDEF,SETTLING POND 7 FLOWPATH,20KADD,1980/05/09,P,SETTLING POND 7,ATHABASCA / SETTLING POND 7,,9218.800
,STR-INDEF,Moose Creek,20KADD,1980/05/09,P,MOOSE CREEK / MCCLELLAND CREEK,FIREBAG RIVER / MOOSE CREEK,,8818.382
,,POND 1-20 OLD OUTFLOW PATH,,,,POND 1-20,EMSC INLET,"2018 ROUTE, CEASED AFTER 2019",8504.651
GA28362530,RIV-MAJ-REP-PRI,"Muskeg River,Muskeg River",,,P,MUS RIFF 2,MUS RIFF 1,,8415.509
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR UPPER 1,FIR UPPER 02,,8395.892
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR LOWER,FIR-1-A,,8129.401
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,AB07DA0600,AB07DA0595,,500
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,MUSKEG RIVER / SHELLEY CREEK,AB07DA0595,,8086.188
GA61700000,STR-INDEF,McClelland Creek,20KADD,1980/05/09,P,SETTLING POND 5B/10 / 16,MCCLELLAND LAKE INFLOW,,8070.491
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR UPPER 02,FIR MID 3,,7956.474
GA28362400,LAKE-REP-PRI,McClelland Lake,,,P,MCCLELLAND LAKE INFLOW,MCCLELLAND LAKE OUTFLOW,,7878.673
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR MID 4,FIR MID 5,,7810.898
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,MUSKEG RIVER / CODA 2-POND,AB07DA0430,,7541.410
GA61900000,STR-PER,Jackpine Creek,20KADD,1994/10/18,P,JACKPINE POND 6 CONFLUENCE,JAC-1,,6839.937
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR MID 5,FIR MID,,6525.617
GA61900000,STR-PER,Jackpine Creek,20KADD,1980/05/09,P,JAC-4,AB07DA1090,,6484.303
GA61900000,STR-PER,Iyinimin Creek,20KADD,1980/05/09,P,RAMP IYC-1,KEARL LAKE INFLOW,,6475.519
GA61900000,STR-PER,Muskeg Creek,20KADD,1980/05/09,P,KEARL LAKE OUTFLOW,RAMP MUC-1,,5977.100
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,AB07DA2750,AB07DA2754,,5702.476
GA28362530,RIV-MAJ-REP-PRI,Muskeg River,,,P,MUS RIFF 1,MUR-1,,5529.662
,STR-INDEF,SLGP OUTFALL FLOWPATH,20KADD,1980/05/09,,SLGP,ATHABASCA / SLGP,ESTIMATED FLOW PATH,5479.283
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,MUSKEG RIVER / WAPASU CREEK,AB07DA0475,,5148.283
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,MUSKEG RIVER / MUSKEG CREEK,J6N,,4977.866
GA61900000,STR-PER,Firebag River,20KADD,1980/05/09,P,FIR TRIB 3,FIR TRIB 2,,4960.467
